Departamento;Provincia;Distrito;Total hogares;Total Cifras absolutas;%;Cifras absolutas 1 NBI;%;Cifras absolutas 2 NBI;%;Cifras absolutas 3 NBI;%;Cifras absolutas 4 NBI;%;Cifras absolutas 5 NBI;%;TOTAL
Cusco;Cusco;Cusco;30821;2780;9;2611;8,5;158;0,5;11;0;0;0;0;0;2780
Cusco;Cusco;Ccorca;739;191;25,8;157;21,2;31;4,2;3;0,4;0;0;0;0;191
Cusco;Cusco;Poroy;676;160;23,7;150;22,2;9;1,3;1;0,1;0;0;0;0;160
Cusco;Cusco;San Jerónimo;15138;1651;10,9;1523;10,1;115;0,8;11;0,1;2;0;0;0;1651
Cusco;Cusco;San Sebastian;32798;3162;9,6;2966;9;186;0,6;9;0;1;0;0;0;3162
Cusco;Cusco;Santiago;27012;2978;11;2807;10,4;161;0,6;9;0;1;0;0;0;2978
Cusco;Cusco;Saylla;1479;361;24,4;305;20,6;51;3,4;5;0,3;0;0;0;0;361
Cusco;Cusco;Wanchaq;17700;633;3,6;622;3,5;11;0,1;0;0;0;0;0;0;633
Cusco;Acomayo;Acomayo;1291;315;24,4;242;18,7;58;4,5;15;1,2;0;0;0;0;315
Cusco;Acomayo;Acopia;809;203;25,1;175;21,6;26;3,2;2;0,2;0;0;0;0;203
Cusco;Acomayo;Acos;717;153;21,3;126;17,6;24;3,3;3;0,4;0;0;0;0;153
Cusco;Acomayo;Mosoc Llacta;445;291;65,4;253;56,9;34;7,6;4;0,9;0;0;0;0;291
Cusco;Acomayo;Pomacanchi;2127;552;26;463;21,8;80;3,8;9;0,4;0;0;0;0;552
Cusco;Acomayo;Rondocan;764;160;20,9;137;17,9;16;2,1;6;0,8;1;0,1;0;0;160
Cusco;Acomayo;Sangarara;1002;392;39,1;352;35,1;36;3,6;4;0,4;0;0;0;0;392
Cusco;Anta;Anta;6240;1376;22,1;1202;19,3;154;2,5;19;0,3;1;0;0;0;1376
Cusco;Anta;Ancahuasi;2034;604;29,7;517;25,4;77;3,8;8;0,4;2;0,1;0;0;604
Cusco;Anta;Cachimayo;661;103;15,6;94;14,2;6;0,9;3;0,5;0;0;0;0;103
Cusco;Anta;Chinchaypujio;1282;637;49,7;532;41,5;84;6,6;19;1,5;2;0,2;0;0;637
Cusco;Anta;Huarocondo;1426;471;33;356;25;100;7;15;1,1;0;0;0;0;471
Cusco;Anta;Limatambo;2269;565;24,9;468;20,6;89;3,9;8;0,4;0;0;0;0;565
Cusco;Anta;Mollepata;1066;233;21,9;185;17,4;44;4,1;2;0,2;2;0,2;0;0;233
Cusco;Anta;Pucyura;772;233;30,2;201;26;30;3,9;2;0,3;0;0;0;0;233
Cusco;Anta;Zurite;1000;257;25,7;231;23,1;23;2,3;3;0,3;0;0;0;0;257
Cusco;Calca;Calca;5975;1261;21,1;964;16,1;242;4,1;37;0,6;16;0,3;2;0;1261
Cusco;Calca;Coya;1090;324;29,7;280;25,7;42;3,9;2;0,2;0;0;0;0;324
Cusco;Calca;Lamay;1483;351;23,7;269;18,1;76;5,1;5;0,3;1;0,1;0;0;351
Cusco;Calca;Lares;1851;1243;67,2;758;41;423;22,9;55;3;6;0,3;1;0,1;1243
Cusco;Calca;Pisac;2912;714;24,5;595;20,4;109;3,7;9;0,3;1;0;0;0;714
Cusco;Calca;San Salvador;1511;413;27,3;359;23,8;50;3,3;4;0,3;0;0;0;0;413
Cusco;Calca;Taray;1224;297;24,3;249;20,3;45;3,7;3;0,2;0;0;0;0;297
Cusco;Calca;Yanatile;3013;978;32,5;760;25,2;183;6,1;30;1;1;0;4;0,1;978
Cusco;Canas;Yanaoca;2743;734;26,8;652;23,8;75;2,7;6;0,2;1;0;0;0;734
Cusco;Canas;Checca;1737;770;44,3;676;38,9;82;4,7;12;0,7;0;0;0;0;770
Cusco;Canas;Kunturkanki;1616;545;33,7;457;28,3;76;4,7;12;0,7;0;0;0;0;545
Cusco;Canas;Langui;674;211;31,3;188;27,9;21;3,1;2;0,3;0;0;0;0;211
Cusco;Canas;Layo;1694;597;35,2;498;29,4;86;5,1;12;0,7;1;0,1;0;0;597
Cusco;Canas;Pampamarca;547;120;21,9;110;20,1;8;1,5;2;0,4;0;0;0;0;120
Cusco;Canas;Quehue;891;401;45;358;40,2;37;4,2;6;0,7;0;0;0;0;401
Cusco;Canas;Tupac Amaru;799;144;18;126;15,8;17;2,1;1;0,1;0;0;0;0;144
Cusco;Canchis;Sicuani;17474;2829;16,2;2527;14,5;286;1,6;16;0,1;0;0;0;0;2829
Cusco;Canchis;Checacupe;1544;498;32,3;365;23,6;119;7,7;11;0,7;3;0,2;0;0;498
Cusco;Canchis;Combapata;1442;333;23,1;288;20;43;3;2;0,1;0;0;0;0;333
Cusco;Canchis;Marangani;3054;551;18;445;14,6;95;3,1;8;0,3;3;0,1;0;0;551
Cusco;Canchis;Pitumarca;2426;914;37,7;685;28,2;199;8,2;28;1,2;2;0,1;0;0;914
Cusco;Canchis;San Pablo;1508;393;26,1;343;22,7;46;3,1;3;0,2;1;0,1;0;0;393
Cusco;Canchis;San Pedro;898;153;17;141;15,7;11;1,2;0;0;1;0,1;0;0;153
Cusco;Canchis;Tinta;1698;408;24;375;22,1;30;1,8;3;0,2;0;0;0;0;408
Cusco;Chumbivilcas;Santo Tomas;7257;2382;32,8;1846;25,4;479;6,6;48;0,7;9;0,1;0;0;2382
Cusco;Chumbivilcas;Capacmarca;1263;365;28,9;307;24,3;51;4;7;0,6;0;0;0;0;365
Cusco;Chumbivilcas;Chamaca;2041;570;27,9;503;24,6;61;3;5;0,2;1;0;0;0;570
Cusco;Chumbivilcas;Colquemarca;2343;733;31,3;590;25,2;133;5,7;10;0,4;0;0;0;0;733
Cusco;Chumbivilcas;Livitaca;3244;2121;65,4;1753;54;309;9,5;53;1,6;6;0,2;0;0;2121
Cusco;Chumbivilcas;Llusco;1354;579;42,8;385;28,4;164;12,1;26;1,9;3;0,2;1;0,1;579
Cusco;Chumbivilcas;Quiñota;1100;467;42,5;305;27,7;117;10,6;39;3,5;6;0,5;0;0;467
Cusco;Chumbivilcas;Velille;2666;778;29,2;663;24,9;102;3,8;12;0,5;1;0;0;0;778
Cusco;Espinar;Espinar;10561;1663;15,7;1519;14,4;139;1,3;5;0;0;0;0;0;1663
Cusco;Espinar;Condoroma;350;182;52;119;34;59;16,9;4;1,1;0;0;0;0;182
Cusco;Espinar;Coporaque;3650;755;20,7;634;17,4;111;3;10;0,3;0;0;0;0;755
Cusco;Espinar;Ocoruro;478;320;66,9;235;49,2;80;16,7;5;1;0;0;0;0;320
Cusco;Espinar;Pallpata;1714;697;40,7;604;35,2;89;5,2;4;0,2;0;0;0;0;697
Cusco;Espinar;Pichigua;1030;315;30,6;287;27,9;26;2,5;2;0,2;0;0;0;0;315
Cusco;Espinar;Suyckutambo;654;280;42,8;233;35,6;44;6,7;3;0,5;0;0;0;0;280
Cusco;Espinar;Alto Pichigua;733;167;22,8;137;18,7;28;3,8;2;0,3;0;0;0;0;167
Cusco;La Convención;Santa Ana;6101;655;10,7;595;9,8;58;1;1;0;1;0;0;0;655
Cusco;La Convención;Echarate;7323;3514;48;2730;37,3;660;9;102;1,4;15;0,2;7;0,1;3514
Cusco;La Convención;Huayopata;1843;411;22,3;337;18,3;66;3,6;7;0,4;1;0,1;0;0;411
Cusco;La Convención;Maranura;1464;224;15,3;200;13,7;20;1,4;4;0,3;0;0;0;0;224
Cusco;La Convención;Ocobamba;1596;387;24,2;303;19;68;4,3;14;0,9;2;0,1;0;0;387
Cusco;La Convención;Quellouno;4833;2018;41,8;1575;32,6;349;7,2;82;1,7;12;0,2;0;0;2018
Cusco;La Convención;Kimbiri;4618;2659;57,6;1836;39,8;703;15,2;111;2,4;8;0,2;1;0;2659
Cusco;La Convención;Santa Teresa;2081;570;27,4;461;22,2;95;4,6;14;0,7;0;0;0;0;570
Cusco;La Convención;Vilcabamba;3082;1248;40,5;894;29;290;9,4;56;1,8;8;0,3;0;0;1248
Cusco;La Convención;Pichari;6291;3111;49,5;2333;37,1;624;9,9;132;2,1;19;0,3;3;0;3111
Cusco;La Convención;Inkawasi;1314;278;21,2;231;17,6;44;3,3;3;0,2;0;0;0;0;278
Cusco;La Convención;Villa Virgen;501;278;55,5;203;40,5;66;13,2;9;1,8;0;0;0;0;278
Cusco;La Convención;Villa Kintiarina;535;387;72,3;233;43,6;122;22,8;28;5,2;4;0,7;0;0;387
Cusco;La Convención;Megantoni;1172;484;41,3;345;29,4;112;9,6;23;2;4;0,3;0;0;484
Cusco;Paruro;Paruro;986;226;22,9;200;20,3;23;2,3;3;0,3;0;0;0;0;226
Cusco;Paruro;Accha;998;217;21,7;175;17,5;36;3,6;6;0,6;0;0;0;0;217
Cusco;Paruro;Ccapi;997;317;31,8;282;28,3;30;3;4;0,4;1;0,1;0;0;317
Cusco;Paruro;Colcha;398;48;12,1;41;10,3;6;1,5;1;0,3;0;0;0;0;48
Cusco;Paruro;Huanoquite;1482;608;41;520;35,1;79;5,3;9;0,6;0;0;0;0;608
Cusco;Paruro;Omacha;1602;684;42,7;576;36;98;6,1;9;0,6;1;0,1;0;0;684
Cusco;Paruro;Paccaritambo;659;201;30,5;177;26,9;18;2,7;6;0,9;0;0;0;0;201
Cusco;Paruro;Pillpinto;446;70;15,7;62;13,9;6;1,3;2;0,4;0;0;0;0;70
Cusco;Paruro;Yaurisque;632;141;22,3;115;18,2;20;3,2;6;0,9;0;0;0;0;141
Cusco;Paucartambo;Paucartambo;3449;1419;41,1;856;24,8;407;11,8;117;3,4;37;1,1;2;0,1;1419
Cusco;Paucartambo;Caicay;732;285;38,9;204;27,9;68;9,3;13;1,8;0;0;0;0;285
Cusco;Paucartambo;Challabamba;2519;1306;51,8;817;32,4;391;15,5;75;3;21;0,8;2;0,1;1306
Cusco;Paucartambo;Colquepata;2325;873;37,5;732;31,5;131;5,6;10;0,4;0;0;0;0;873
Cusco;Paucartambo;Huancarani;1835;650;35,4;544;29,6;93;5,1;12;0,7;1;0,1;0;0;650
Cusco;Paucartambo;Kosñipata;1324;1255;94,8;539;40,7;518;39,1;154;11,6;40;3;4;0,3;1255
Cusco;Quispicanchi;Urcos;3095;665;21,5;563;18,2;97;3,1;5;0,2;0;0;0;0;665
Cusco;Quispicanchi;Andahuaylillas;1598;460;28,8;392;24,5;57;3,6;11;0,7;0;0;0;0;460
Cusco;Quispicanchi;Camanti;596;252;42,3;176;29,5;63;10,6;9;1,5;4;0,7;0;0;252
Cusco;Quispicanchi;Ccarhuayo;810;389;48;290;35,8;80;9,9;19;2,3;0;0;0;0;389
Cusco;Quispicanchi;Ccatca;3561;1497;42;1161;32,6;278;7,8;52;1,5;6;0,2;0;0;1497
Cusco;Quispicanchi;Cusipata;1292;574;44,4;451;34,9;94;7,3;27;2,1;2;0,2;0;0;574
Cusco;Quispicanchi;Huaro;1285;402;31,3;326;25,4;60;4,7;15;1,2;1;0,1;0;0;402
Cusco;Quispicanchi;Lucre;1339;407;30,4;330;24,6;67;5;10;0,7;0;0;0;0;407
Cusco;Quispicanchi;Marcapata;1373;1121;81,6;543;39,5;459;33,4;95;6,9;19;1,4;5;0,4;1121
Cusco;Quispicanchi;Ocongate;4294;1483;34,5;1208;28,1;238;5,5;34;0,8;3;0,1;0;0;1483
Cusco;Quispicanchi;Oropesa;2514;477;19;425;16,9;47;1,9;4;0,2;1;0;0;0;477
Cusco;Quispicanchi;Quiquijana;2946;1052;35,7;815;27,7;200;6,8;36;1,2;1;0;0;0;1052
Cusco;Urubamba;Urubamba;5607;946;16,9;768;13,7;141;2,5;28;0,5;7;0,1;2;0;946
Cusco;Urubamba;Chinchero;2927;442;15,1;412;14,1;28;1;2;0,1;0;0;0;0;442
Cusco;Urubamba;Huayllabamba;1540;251;16,3;229;14,9;20;1,3;2;0,1;0;0;0;0;251
Cusco;Urubamba;Machupicchu;992;213;21,5;181;18,2;29;2,9;3;0,3;0;0;0;0;213
Cusco;Urubamba;Maras;1877;802;42,7;672;35,8;112;6;18;1;0;0;0;0;802
Cusco;Urubamba;Ollantaytambo;2800;1005;35,9;690;24,6;253;9;55;2;7;0,3;0;0;1005
Cusco;Urubamba;Yucay;775;102;13,2;92;11,9;9;1,2;1;0,1;0;0;0;0;102
