Distrito,MUERTES,Indice,Ubigeo,Departamento_x,Provincia_x,Poblacion_proyectada2020,Intervalo_inferior,Intervalo_superior,Grupo_robusto,Ubicacion_pobreza_monetaria,Departamento_y,Provincia_y,Total hogares,Total Cifras absolutas,Cifras absolutas 1 NBI,Cifras absolutas 2 NBI,Cifras absolutas 3 NBI,Cifras absolutas 4 NBI,Cifras absolutas 5 NBI,TOTAL,conteo
ACCHA,9,511,81002,CUSCO,PARURO,3125,32.0,59.0,8,511,CUSCO,PARURO,998,217,175,36,6,0,0,217,1
ACOMAYO,12,644,80201,CUSCO,ACOMAYO,4616,30.1,54.0,9,644,CUSCO,ACOMAYO,1291,315,242,58,15,0,0,315,1
ACOPIA,7,896,80202,CUSCO,ACOMAYO,3048,24.7,46.1,10,896,CUSCO,ACOMAYO,809,203,175,26,2,0,0,203,1
ACOS,4,872,80203,CUSCO,ACOMAYO,2350,24.7,47.6,10,872,CUSCO,ACOMAYO,717,153,126,24,3,0,0,153,1
ALTO PICHIGUA,1,938,80808,CUSCO,ESPINAR,1981,23.8,44.8,11,938,CUSCO,ESPINAR,733,167,137,28,2,0,0,167,1
ANCAHUASI,17,876,80302,CUSCO,ANTA,7784,21.5,50.7,10,876,CUSCO,ANTA,2034,604,517,77,8,2,0,604,1
ANDAHUAYLILLAS,19,1090,81202,CUSCO,QUISPICANCHI,6938,18.9,40.9,12,1090,CUSCO,QUISPICANCHI,1598,460,392,57,11,0,0,460,1
ANTA,87,1232,80301,CUSCO,ANTA,25464,15.8,35.5,14,1232,CUSCO,ANTA,6240,1376,1202,154,19,1,0,1376,1
CACHIMAYO,17,1708,80303,CUSCO,ANTA,2742,5.0,16.9,19,1708,CUSCO,ANTA,661,103,94,6,3,0,0,103,1
CAICAY,9,374,81102,CUSCO,PAUCARTAMBO,3050,37.0,62.2,7,374,CUSCO,PAUCARTAMBO,732,285,204,68,13,0,0,285,1
CALCA,45,1298,80401,CUSCO,CALCA,23423,15.8,32.5,14,1298,CUSCO,CALCA,5975,1261,964,242,37,16,2,1261,1
CAMANTI,7,1587,81203,CUSCO,QUISPICANCHI,2603,6.5,23.7,16,1587,CUSCO,QUISPICANCHI,596,252,176,63,9,4,0,252,1
CAPACMARCA,8,527,80702,CUSCO,CHUMBIVILCAS,4119,30.3,60.1,8,527,CUSCO,CHUMBIVILCAS,1263,365,307,51,7,0,0,365,1
CCAPI,3,752,81003,CUSCO,PARURO,3121,28.6,49.7,10,752,CUSCO,PARURO,997,317,282,30,4,1,0,317,1
CCARHUAYO,13,311,81204,CUSCO,QUISPICANCHI,3156,38.4,65.0,7,311,CUSCO,QUISPICANCHI,810,389,290,80,19,0,0,389,1
CCATCA,35,104,81205,CUSCO,QUISPICANCHI,15084,48.6,74.1,5,104,CUSCO,QUISPICANCHI,3561,1497,1161,278,52,6,0,1497,1
CCORCA,6,741,80102,CUSCO,CUSCO,2405,24.6,54.2,10,741,CUSCO,CUSCO,739,191,157,31,3,0,0,191,1
CHALLABAMBA,10,314,81103,CUSCO,PAUCARTAMBO,9421,37.5,65.8,7,314,CUSCO,PAUCARTAMBO,2519,1306,817,391,75,21,2,1306,1
CHAMACA,7,391,80703,CUSCO,CHUMBIVILCAS,6503,35.4,62.5,7,391,CUSCO,CHUMBIVILCAS,2041,570,503,61,5,1,0,570,1
CHECACUPE,14,699,80602,CUSCO,CANCHIS,5217,26.8,53.8,9,699,CUSCO,CANCHIS,1544,498,365,119,11,3,0,498,1
CHECCA,4,179,80502,CUSCO,CANAS,5485,42.3,69.4,6,179,CUSCO,CANAS,1737,770,676,82,12,0,0,770,1
CHINCHAYPUJIO,5,455,80304,CUSCO,ANTA,4333,34.4,59.8,8,455,CUSCO,ANTA,1282,637,532,84,19,2,0,637,1
CHINCHERO,22,1281,81302,CUSCO,URUBAMBA,12298,15.4,33.3,14,1281,CUSCO,URUBAMBA,2927,442,412,28,2,0,0,442,1
COLCHA,3,1075,81004,CUSCO,PARURO,948,22.9,37.7,12,1075,CUSCO,PARURO,398,48,41,6,1,0,0,48,1
COLQUEMARCA,16,385,80704,CUSCO,CHUMBIVILCAS,7110,34.8,63.5,7,385,CUSCO,CHUMBIVILCAS,2343,733,590,133,10,0,0,733,1
COLQUEPATA,6,328,81104,CUSCO,PAUCARTAMBO,8915,38.3,64.2,7,328,CUSCO,PAUCARTAMBO,2325,873,732,131,10,0,0,873,1
COMBAPATA,9,967,80603,CUSCO,CANCHIS,5026,21.7,45.1,11,967,CUSCO,CANCHIS,1442,333,288,43,2,0,0,333,1
CONDOROMA,1,1301,80802,CUSCO,ESPINAR,872,12.3,35.6,14,1301,CUSCO,ESPINAR,350,182,119,59,4,0,0,182,1
COPORAQUE,14,653,80803,CUSCO,ESPINAR,9824,26.0,57.2,9,653,CUSCO,ESPINAR,3650,755,634,111,10,0,0,755,1
COYA,10,1092,80402,CUSCO,CALCA,3645,17.1,42.6,12,1092,CUSCO,CALCA,1090,324,280,42,2,0,0,324,1
CUSCO,776,1758,80101,CUSCO,CUSCO,118127,4.0,12.4,20,1758,CUSCO,CUSCO,30821,2780,2611,158,11,0,0,2780,1
CUSIPATA,11,785,81206,CUSCO,QUISPICANCHI,4661,26.4,50.2,10,785,CUSCO,QUISPICANCHI,1292,574,451,94,27,2,0,574,1
ECHARATE,48,1334,80902,CUSCO,LA CONVENCIÓN,25281,13.3,33.2,14,1334,CUSCO,LA CONVENCIÓN,7323,3514,2730,660,102,15,7,3514,1
ESPINAR,83,1219,80801,CUSCO,ESPINAR,38886,16.1,35.7,14,1219,CUSCO,ESPINAR,10561,1663,1519,139,5,0,0,1663,1
HUANCARANI,6,507,81105,CUSCO,PAUCARTAMBO,7866,31.7,59.7,8,507,CUSCO,PAUCARTAMBO,1835,650,544,93,12,1,0,650,1
HUARO,12,972,81207,CUSCO,QUISPICANCHI,4965,24.0,42.3,11,972,CUSCO,QUISPICANCHI,1285,402,326,60,15,1,0,402,1
HUAROCONDO,25,1101,80305,CUSCO,ANTA,4634,17.1,42.2,12,1101,CUSCO,ANTA,1426,471,356,100,15,0,0,471,1
HUAYLLABAMBA,12,1282,81303,CUSCO,URUBAMBA,6308,15.4,33.3,14,1282,CUSCO,URUBAMBA,1540,251,229,20,2,0,0,251,1
HUAYOPATA,18,1307,80903,CUSCO,LA CONVENCIÓN,5487,11.7,36.0,14,1307,CUSCO,LA CONVENCIÓN,1843,411,337,66,7,1,0,411,1
INKAWASI,2,512,80911,CUSCO,LA CONVENCIÓN,5031,30.1,60.8,8,512,CUSCO,LA CONVENCIÓN,1314,278,231,44,3,0,0,278,1
KIMBIRI,44,1251,80907,CUSCO,LA CONVENCIÓN,19099,14.7,35.4,14,1251,CUSCO,LA CONVENCIÓN,4618,2659,1836,703,111,8,1,2659,1
KOSÑIPATA,16,1044,81106,CUSCO,PAUCARTAMBO,4892,18.4,43.5,12,1044,CUSCO,PAUCARTAMBO,1324,1255,539,518,154,40,4,1255,1
KUNTURKANKI,13,505,80503,CUSCO,CANAS,5178,32.0,59.6,8,505,CUSCO,CANAS,1616,545,457,76,12,0,0,545,1
LAMAY,3,719,80403,CUSCO,CALCA,5967,28.0,51.9,9,719,CUSCO,CALCA,1483,351,269,76,5,1,0,351,1
LANGUI,5,675,80504,CUSCO,CANAS,2104,27.8,53.9,9,675,CUSCO,CANAS,674,211,188,21,2,0,0,211,1
LARES,3,335,80404,CUSCO,CALCA,6412,37.2,64.8,7,335,CUSCO,CALCA,1851,1243,758,423,55,6,1,1243,1
LAYO,11,258,80505,CUSCO,CANAS,5548,39.2,67.1,6,258,CUSCO,CANAS,1694,597,498,86,12,1,0,597,1
LIMATAMBO,29,868,80306,CUSCO,ANTA,7754,23.6,48.8,10,868,CUSCO,ANTA,2269,565,468,89,8,0,0,565,1
LIVITACA,10,163,80705,CUSCO,CHUMBIVILCAS,12798,44.2,69.9,6,163,CUSCO,CHUMBIVILCAS,3244,2121,1753,309,53,6,0,2121,1
LLUSCO,14,361,80706,CUSCO,CHUMBIVILCAS,4322,36.3,63.7,7,361,CUSCO,CHUMBIVILCAS,1354,579,385,164,26,3,1,579,1
LUCRE,20,1461,81208,CUSCO,QUISPICANCHI,5223,12.8,25.3,15,1461,CUSCO,QUISPICANCHI,1339,407,330,67,10,0,0,407,1
MACHUPICCHU,10,1319,81304,CUSCO,URUBAMBA,5704,17.3,29.7,14,1319,CUSCO,URUBAMBA,992,213,181,29,3,0,0,213,1
MARANGANI,23,747,80604,CUSCO,CANCHIS,10399,25.8,52.8,10,747,CUSCO,CANCHIS,3054,551,445,95,8,3,0,551,1
MARANURA,19,1597,80904,CUSCO,LA CONVENCIÓN,5209,5.4,24.2,16,1597,CUSCO,LA CONVENCIÓN,1464,224,200,20,4,0,0,224,1
MARAS,29,944,81305,CUSCO,URUBAMBA,6769,20.3,47.2,11,944,CUSCO,URUBAMBA,1877,802,672,112,18,0,0,802,1
MARCAPATA,4,151,81209,CUSCO,QUISPICANCHI,4947,44.5,70.7,6,151,CUSCO,QUISPICANCHI,1373,1121,543,459,95,19,5,1121,1
MEGANTONI,12,956,80914,CUSCO,LA CONVENCIÓN,7499,21.1,46.0,11,956,CUSCO,LA CONVENCIÓN,1172,484,345,112,23,4,0,484,1
MOLLEPATA,15,1156,80307,CUSCO,ANTA,3496,16.1,40.1,12,1156,CUSCO,ANTA,1066,233,185,44,2,2,0,233,1
OCOBAMBA,8,877,80905,CUSCO,LA CONVENCIÓN,5985,22.9,49.2,10,877,CUSCO,LA CONVENCIÓN,1596,387,303,68,14,2,0,387,1
OCONGATE,85,243,81210,CUSCO,QUISPICANCHI,18587,39.7,67.4,6,243,CUSCO,QUISPICANCHI,4294,1483,1208,238,34,3,0,1483,1
OLLANTAYTAMBO,29,1073,81306,CUSCO,URUBAMBA,11808,20.5,40.1,12,1073,CUSCO,URUBAMBA,2800,1005,690,253,55,7,0,1005,1
OMACHA,2,102,81006,CUSCO,PARURO,5842,47.2,75.7,5,102,CUSCO,PARURO,1602,684,576,98,9,1,0,684,1
OROPESA,36,1462,81211,CUSCO,QUISPICANCHI,11563,12.8,25.3,15,1462,CUSCO,QUISPICANCHI,2514,477,425,47,4,1,0,477,1
PACCARITAMBO,7,753,81007,CUSCO,PARURO,2092,28.6,49.7,10,753,CUSCO,PARURO,659,201,177,18,6,0,0,201,1
PALLPATA,10,1091,80805,CUSCO,ESPINAR,5111,17.0,42.8,12,1091,CUSCO,ESPINAR,1714,697,604,89,4,0,0,697,1
PAMPAMARCA,2,857,80506,CUSCO,CANAS,1889,23.1,49.7,10,857,CUSCO,CANAS,547,120,110,8,2,0,0,120,1
PARURO,17,1074,81001,CUSCO,PARURO,3474,22.9,37.7,12,1074,CUSCO,PARURO,986,226,200,23,3,0,0,226,1
PAUCARTAMBO,31,486,81101,CUSCO,PAUCARTAMBO,13435,34.2,58.3,8,486,CUSCO,PAUCARTAMBO,3449,1419,856,407,117,37,2,1419,1
PICHARI,41,1056,80910,CUSCO,LA CONVENCIÓN,27234,20.0,41.3,12,1056,CUSCO,LA CONVENCIÓN,6291,3111,2333,624,132,19,3,3111,1
PICHIGUA,7,535,80806,CUSCO,ESPINAR,2824,30.6,59.3,8,535,CUSCO,ESPINAR,1030,315,287,26,2,0,0,315,1
PILLPINTO,5,1395,81008,CUSCO,PARURO,1033,10.8,31.9,14,1395,CUSCO,PARURO,446,70,62,6,2,0,0,70,1
PISAC,19,858,80405,CUSCO,CALCA,11607,24.3,48.4,10,858,CUSCO,CALCA,2912,714,595,109,9,1,0,714,1
PITUMARCA,17,510,80605,CUSCO,CANCHIS,8366,31.7,59.3,8,510,CUSCO,CANCHIS,2426,914,685,199,28,2,0,914,1
POMACANCHI,19,524,80205,CUSCO,ACOMAYO,7598,32.3,58.1,8,524,CUSCO,ACOMAYO,2127,552,463,80,9,0,0,552,1
POROY,33,1388,80103,CUSCO,CUSCO,12333,11.7,31.6,14,1388,CUSCO,CUSCO,676,160,150,9,1,0,0,160,1
PUCYURA,17,1290,80308,CUSCO,ANTA,3166,17.1,31.4,14,1290,CUSCO,ANTA,772,233,201,30,2,0,0,233,1
QUEHUE,6,195,80507,CUSCO,CANAS,2660,40.9,69.4,6,195,CUSCO,CANAS,891,401,358,37,6,0,0,401,1
QUELLOUNO,19,1384,80906,CUSCO,LA CONVENCIÓN,15150,14.1,29.5,14,1384,CUSCO,LA CONVENCIÓN,4833,2018,1575,349,82,12,0,2018,1
QUIQUIJANA,20,435,81212,CUSCO,QUISPICANCHI,11856,36.8,58.9,8,435,CUSCO,QUISPICANCHI,2946,1052,815,200,36,1,0,1052,1
SAN PABLO,16,933,80606,CUSCO,CANCHIS,4475,22.4,46.5,11,933,CUSCO,CANCHIS,1508,393,343,46,3,1,0,393,1
SAN PEDRO,18,1512,80607,CUSCO,CANCHIS,2808,8.4,27.5,15,1512,CUSCO,CANCHIS,898,153,141,11,0,1,0,153,1
SAN SALVADOR,11,722,80406,CUSCO,CALCA,6175,27.9,51.9,9,722,CUSCO,CALCA,1511,413,359,50,4,0,0,413,1
SANGARARA,7,676,80207,CUSCO,ACOMAYO,3404,26.3,55.4,9,676,CUSCO,ACOMAYO,1002,392,352,36,4,0,0,392,1
SANTA ANA,245,1757,80901,CUSCO,LA CONVENCIÓN,29990,3.3,13.3,20,1757,CUSCO,LA CONVENCIÓN,6101,655,595,58,1,1,0,655,1
SANTA TERESA,17,1385,80908,CUSCO,LA CONVENCIÓN,6945,14.1,29.5,14,1385,CUSCO,LA CONVENCIÓN,2081,570,461,95,14,0,0,570,1
SANTIAGO,433,1756,80106,CUSCO,CUSCO,103817,4.2,12.4,20,1756,CUSCO,CUSCO,27012,2978,2807,161,9,1,0,2978,1
SAYLLA,20,1239,80107,CUSCO,CUSCO,8338,14.9,35.9,14,1239,CUSCO,CUSCO,1479,361,305,51,5,0,0,361,1
SICUANI,329,1320,80601,CUSCO,CANCHIS,64711,13.7,33.3,14,1320,CUSCO,CANCHIS,17474,2829,2527,286,16,0,0,2829,1
SUYCKUTAMBO,4,629,80807,CUSCO,ESPINAR,1566,28.0,56.7,9,629,CUSCO,ESPINAR,654,280,233,44,3,0,0,280,1
TARAY,7,655,80407,CUSCO,CALCA,4880,27.7,55.4,9,655,CUSCO,CALCA,1224,297,249,45,3,0,0,297,1
TINTA,17,1028,80608,CUSCO,CANCHIS,5474,19.2,44.4,11,1028,CUSCO,CANCHIS,1698,408,375,30,3,0,0,408,1
URCOS,55,1169,81201,CUSCO,QUISPICANCHI,12152,17.6,38.1,12,1169,CUSCO,QUISPICANCHI,3095,665,563,97,5,0,0,665,1
URUBAMBA,83,1399,81301,CUSCO,URUBAMBA,23754,12.5,29.6,15,1399,CUSCO,URUBAMBA,5607,946,768,141,28,7,2,946,1
VELILLE,10,765,80708,CUSCO,CHUMBIVILCAS,8472,26.1,51.4,10,765,CUSCO,CHUMBIVILCAS,2666,778,663,102,12,1,0,778,1
VILCABAMBA,12,788,80909,CUSCO,LA CONVENCIÓN,10240,25.2,51.2,10,788,CUSCO,LA CONVENCIÓN,3082,1248,894,290,56,8,0,1248,1
VILLA VIRGEN,2,613,80912,CUSCO,LA CONVENCIÓN,2391,29.7,55.8,9,613,CUSCO,LA CONVENCIÓN,501,278,203,66,9,0,0,278,1
WANCHAQ,504,1862,80108,CUSCO,CUSCO,61364,0.5,2.3,25,1862,CUSCO,CUSCO,17700,633,622,11,0,0,0,633,1
YANAOCA,33,355,80501,CUSCO,CANAS,9270,37.3,62.9,7,355,CUSCO,CANAS,2743,734,652,75,6,1,0,734,1
YANATILE,17,924,80408,CUSCO,CALCA,9473,22.1,47.0,11,924,CUSCO,CALCA,3013,978,760,183,30,1,4,978,1
YAURISQUE,13,1076,81009,CUSCO,PARURO,1931,22.9,37.7,12,1076,CUSCO,PARURO,632,141,115,20,6,0,0,141,1
YUCAY,13,1624,81307,CUSCO,URUBAMBA,3402,7.6,20.5,17,1624,CUSCO,URUBAMBA,775,102,92,9,1,0,0,102,1
ZURITE,14,1291,80309,CUSCO,ANTA,3758,17.1,31.4,14,1291,CUSCO,ANTA,1000,257,231,23,3,0,0,257,1
